task,image_id,attribute,image_path,mask_path,image_width,image_height,mask_width,mask_height,size_match,image_error,mask_error,status
task1,000036,,D:\Biology-AI\data\Task1_Segmentation\images\000036.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000036_segmentation.png,1024,768,1024,768,True,,,OK
task1,000037,,D:\Biology-AI\data\Task1_Segmentation\images\000037.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000037_segmentation.png,6668,4439,6668,4439,True,,,OK
task1,000038,,D:\Biology-AI\data\Task1_Segmentation\images\000038.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000038_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000039,,D:\Biology-AI\data\Task1_Segmentation\images\000039.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000039_segmentation.png,6668,4459,6668,4459,True,,,OK
task1,000040,,D:\Biology-AI\data\Task1_Segmentation\images\000040.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000040_segmentation.png,824,719,824,719,True,,,OK
task1,000041,,D:\Biology-AI\data\Task1_Segmentation\images\000041.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000041_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000042,,D:\Biology-AI\data\Task1_Segmentation\images\000042.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000042_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000043,,D:\Biology-AI\data\Task1_Segmentation\images\000043.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000043_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000044,,D:\Biology-AI\data\Task1_Segmentation\images\000044.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000044_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000045,,D:\Biology-AI\data\Task1_Segmentation\images\000045.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000045_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000046,,D:\Biology-AI\data\Task1_Segmentation\images\000046.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000046_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000047,,D:\Biology-AI\data\Task1_Segmentation\images\000047.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000047_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000048,,D:\Biology-AI\data\Task1_Segmentation\images\000048.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000048_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000049,,D:\Biology-AI\data\Task1_Segmentation\images\000049.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000049_segmentation.png,1024,768,1024,768,True,,,OK
task1,000050,,D:\Biology-AI\data\Task1_Segmentation\images\000050.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000050_segmentation.png,1024,768,1024,768,True,,,OK
task1,000051,,D:\Biology-AI\data\Task1_Segmentation\images\000051.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000051_segmentation.png,1504,1129,1504,1129,True,,,OK
task1,000052,,D:\Biology-AI\data\Task1_Segmentation\images\000052.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000052_segmentation.png,2592,3872,2592,3872,True,,,OK
task1,000053,,D:\Biology-AI\data\Task1_Segmentation\images\000053.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000053_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,000054,,D:\Biology-AI\data\Task1_Segmentation\images\000054.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000054_segmentation.png,6680,4422,6680,4422,True,,,OK
task1,000055,,D:\Biology-AI\data\Task1_Segmentation\images\000055.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000055_segmentation.png,767,576,767,576,True,,,OK
task1,000056,,D:\Biology-AI\data\Task1_Segmentation\images\000056.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000056_segmentation.png,6642,4420,6642,4420,True,,,OK
task1,000057,,D:\Biology-AI\data\Task1_Segmentation\images\000057.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000057_segmentation.png,640,480,640,480,True,,,OK
task1,000058,,D:\Biology-AI\data\Task1_Segmentation\images\000058.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000058_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000059,,D:\Biology-AI\data\Task1_Segmentation\images\000059.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000059_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000060,,D:\Biology-AI\data\Task1_Segmentation\images\000060.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000060_segmentation.png,824,719,824,719,True,,,OK
task1,000061,,D:\Biology-AI\data\Task1_Segmentation\images\000061.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000061_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,000062,,D:\Biology-AI\data\Task1_Segmentation\images\000062.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000062_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000063,,D:\Biology-AI\data\Task1_Segmentation\images\000063.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000063_segmentation.png,6668,4439,6668,4439,True,,,OK
task1,000064,,D:\Biology-AI\data\Task1_Segmentation\images\000064.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000064_segmentation.png,640,480,640,480,True,,,OK
task1,000065,,D:\Biology-AI\data\Task1_Segmentation\images\000065.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000065_segmentation.png,640,480,640,480,True,,,OK
task1,000066,,D:\Biology-AI\data\Task1_Segmentation\images\000066.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000066_segmentation.png,6688,4419,6688,4419,True,,,OK
task1,000067,,D:\Biology-AI\data\Task1_Segmentation\images\000067.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000067_segmentation.png,640,480,640,480,True,,,OK
task1,000068,,D:\Biology-AI\data\Task1_Segmentation\images\000068.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000068_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000069,,D:\Biology-AI\data\Task1_Segmentation\images\000069.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000069_segmentation.png,767,576,767,576,True,,,OK
task1,000070,,D:\Biology-AI\data\Task1_Segmentation\images\000070.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000070_segmentation.png,6601,4382,6601,4382,True,,,OK
task1,000071,,D:\Biology-AI\data\Task1_Segmentation\images\000071.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000071_segmentation.png,640,480,640,480,True,,,OK
task1,000072,,D:\Biology-AI\data\Task1_Segmentation\images\000072.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000072_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000073,,D:\Biology-AI\data\Task1_Segmentation\images\000073.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000073_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000074,,D:\Biology-AI\data\Task1_Segmentation\images\000074.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000074_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000075,,D:\Biology-AI\data\Task1_Segmentation\images\000075.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000075_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000076,,D:\Biology-AI\data\Task1_Segmentation\images\000076.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000076_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000077,,D:\Biology-AI\data\Task1_Segmentation\images\000077.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000077_segmentation.png,1831,1528,1831,1528,True,,,OK
task1,000078,,D:\Biology-AI\data\Task1_Segmentation\images\000078.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000078_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000079,,D:\Biology-AI\data\Task1_Segmentation\images\000079.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000079_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000080,,D:\Biology-AI\data\Task1_Segmentation\images\000080.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000080_segmentation.png,1503,1129,1503,1129,True,,,OK
task1,000081,,D:\Biology-AI\data\Task1_Segmentation\images\000081.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000081_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000082,,D:\Biology-AI\data\Task1_Segmentation\images\000082.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000082_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000083,,D:\Biology-AI\data\Task1_Segmentation\images\000083.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000083_segmentation.png,1024,768,1024,768,True,,,OK
task1,000084,,D:\Biology-AI\data\Task1_Segmentation\images\000084.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000084_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,000085,,D:\Biology-AI\data\Task1_Segmentation\images\000085.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000085_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,000086,,D:\Biology-AI\data\Task1_Segmentation\images\000086.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000086_segmentation.png,1024,768,1024,768,True,,,OK
task1,000087,,D:\Biology-AI\data\Task1_Segmentation\images\000087.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000087_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000088,,D:\Biology-AI\data\Task1_Segmentation\images\000088.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000088_segmentation.png,1022,767,1022,767,True,,,OK
task1,000089,,D:\Biology-AI\data\Task1_Segmentation\images\000089.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000089_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000090,,D:\Biology-AI\data\Task1_Segmentation\images\000090.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000090_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000091,,D:\Biology-AI\data\Task1_Segmentation\images\000091.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000091_segmentation.png,6642,4420,6642,4420,True,,,OK
task1,000092,,D:\Biology-AI\data\Task1_Segmentation\images\000092.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000092_segmentation.png,1024,768,1024,768,True,,,OK
task1,000093,,D:\Biology-AI\data\Task1_Segmentation\images\000093.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000093_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000094,,D:\Biology-AI\data\Task1_Segmentation\images\000094.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000094_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,000095,,D:\Biology-AI\data\Task1_Segmentation\images\000095.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000095_segmentation.png,1057,704,1057,704,True,,,OK
task1,000096,,D:\Biology-AI\data\Task1_Segmentation\images\000096.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000096_segmentation.png,6688,4439,6688,4439,True,,,OK
task1,000097,,D:\Biology-AI\data\Task1_Segmentation\images\000097.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000097_segmentation.png,2370,1720,2370,1720,True,,,OK
task1,000098,,D:\Biology-AI\data\Task1_Segmentation\images\000098.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000098_segmentation.png,6621,4420,6621,4420,True,,,OK
task1,000099,,D:\Biology-AI\data\Task1_Segmentation\images\000099.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000099_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000100,,D:\Biology-AI\data\Task1_Segmentation\images\000100.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000100_segmentation.png,1859,1351,1859,1351,True,,,OK
task1,000101,,D:\Biology-AI\data\Task1_Segmentation\images\000101.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000101_segmentation.png,4288,2848,4288,2848,True,,,OK
task1,000102,,D:\Biology-AI\data\Task1_Segmentation\images\000102.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000102_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000103,,D:\Biology-AI\data\Task1_Segmentation\images\000103.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000103_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000104,,D:\Biology-AI\data\Task1_Segmentation\images\000104.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000104_segmentation.png,965,649,965,649,True,,,OK
task1,000105,,D:\Biology-AI\data\Task1_Segmentation\images\000105.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000105_segmentation.png,1024,768,1024,768,True,,,OK
task1,000106,,D:\Biology-AI\data\Task1_Segmentation\images\000106.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000106_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000107,,D:\Biology-AI\data\Task1_Segmentation\images\000107.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000107_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,000108,,D:\Biology-AI\data\Task1_Segmentation\images\000108.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000108_segmentation.png,1024,768,1024,768,True,,,OK
task1,000109,,D:\Biology-AI\data\Task1_Segmentation\images\000109.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000109_segmentation.png,2048,1536,2048,1536,True,,,OK
task1,000110,,D:\Biology-AI\data\Task1_Segmentation\images\000110.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000110_segmentation.png,6688,4439,6688,4439,True,,,OK
task1,000111,,D:\Biology-AI\data\Task1_Segmentation\images\000111.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000111_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000112,,D:\Biology-AI\data\Task1_Segmentation\images\000112.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000112_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000113,,D:\Biology-AI\data\Task1_Segmentation\images\000113.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000113_segmentation.png,640,480,640,480,True,,,OK
task1,000114,,D:\Biology-AI\data\Task1_Segmentation\images\000114.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000114_segmentation.png,6641,4401,6641,4401,True,,,OK
task1,000115,,D:\Biology-AI\data\Task1_Segmentation\images\000115.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000115_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000116,,D:\Biology-AI\data\Task1_Segmentation\images\000116.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000116_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000117,,D:\Biology-AI\data\Task1_Segmentation\images\000117.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000117_segmentation.png,6760,4480,6760,4480,True,,,OK
task1,000118,,D:\Biology-AI\data\Task1_Segmentation\images\000118.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000118_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000119,,D:\Biology-AI\data\Task1_Segmentation\images\000119.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000119_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000120,,D:\Biology-AI\data\Task1_Segmentation\images\000120.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000120_segmentation.png,1504,1129,1504,1129,True,,,OK
task1,000121,,D:\Biology-AI\data\Task1_Segmentation\images\000121.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000121_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000122,,D:\Biology-AI\data\Task1_Segmentation\images\000122.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000122_segmentation.png,640,480,640,480,True,,,OK
task1,000123,,D:\Biology-AI\data\Task1_Segmentation\images\000123.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000123_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000124,,D:\Biology-AI\data\Task1_Segmentation\images\000124.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000124_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,000125,,D:\Biology-AI\data\Task1_Segmentation\images\000125.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000125_segmentation.png,1024,768,1024,768,True,,,OK
task1,000126,,D:\Biology-AI\data\Task1_Segmentation\images\000126.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000126_segmentation.png,640,480,640,480,True,,,OK
task1,000127,,D:\Biology-AI\data\Task1_Segmentation\images\000127.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000127_segmentation.png,6620,4401,6620,4401,True,,,OK
task1,000128,,D:\Biology-AI\data\Task1_Segmentation\images\000128.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000128_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000129,,D:\Biology-AI\data\Task1_Segmentation\images\000129.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000129_segmentation.png,767,576,767,576,True,,,OK
task1,000130,,D:\Biology-AI\data\Task1_Segmentation\images\000130.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000130_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000131,,D:\Biology-AI\data\Task1_Segmentation\images\000131.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000131_segmentation.png,640,480,640,480,True,,,OK
task1,000132,,D:\Biology-AI\data\Task1_Segmentation\images\000132.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000132_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000133,,D:\Biology-AI\data\Task1_Segmentation\images\000133.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000133_segmentation.png,1024,768,1024,768,True,,,OK
task1,000134,,D:\Biology-AI\data\Task1_Segmentation\images\000134.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000134_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000135,,D:\Biology-AI\data\Task1_Segmentation\images\000135.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000135_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000136,,D:\Biology-AI\data\Task1_Segmentation\images\000136.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000136_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000137,,D:\Biology-AI\data\Task1_Segmentation\images\000137.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000137_segmentation.png,3024,2016,3024,2016,True,,,OK
task1,000138,,D:\Biology-AI\data\Task1_Segmentation\images\000138.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000138_segmentation.png,1024,768,1024,768,True,,,OK
task1,000139,,D:\Biology-AI\data\Task1_Segmentation\images\000139.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000139_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000140,,D:\Biology-AI\data\Task1_Segmentation\images\000140.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000140_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000141,,D:\Biology-AI\data\Task1_Segmentation\images\000141.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000141_segmentation.png,3872,2592,3872,2592,True,,,OK
task1,000142,,D:\Biology-AI\data\Task1_Segmentation\images\000142.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000142_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000143,,D:\Biology-AI\data\Task1_Segmentation\images\000143.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000143_segmentation.png,767,576,767,576,True,,,OK
task1,000144,,D:\Biology-AI\data\Task1_Segmentation\images\000144.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000144_segmentation.png,6681,4420,6681,4420,True,,,OK
task1,000145,,D:\Biology-AI\data\Task1_Segmentation\images\000145.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000145_segmentation.png,3072,2304,3072,2304,True,,,OK
task1,000146,,D:\Biology-AI\data\Task1_Segmentation\images\000146.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000146_segmentation.png,1024,768,1024,768,True,,,OK
task1,000147,,D:\Biology-AI\data\Task1_Segmentation\images\000147.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000147_segmentation.png,3008,2000,3008,2000,True,,,OK
task1,000148,,D:\Biology-AI\data\Task1_Segmentation\images\000148.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000148_segmentation.png,6621,4420,6621,4420,True,,,OK
task1,000149,,D:\Biology-AI\data\Task1_Segmentation\images\000149.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000149_segmentation.png,2725,2082,2725,2082,True,,,OK
task1,000150,,D:\Biology-AI\data\Task1_Segmentation\images\000150.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000150_segmentation.png,1024,768,1024,768,True,,,OK
task1,000151,,D:\Biology-AI\data\Task1_Segmentation\images\000151.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000151_segmentation.png,1024,768,1024,768,True,,,OK
task1,000152,,D:\Biology-AI\data\Task1_Segmentation\images\000152.jpg,D:\Biology-AI\data\Task1_Segmentation\masks\000152_segmentation.png,640,480,640,480,True,,,OK
