image_id,task1_path,task2_path,task1_exists,task2_exists,same_content,error
000014,D:\Biology-AI\data\Task1_Segmentation\images\000014.jpg,D:\Biology-AI\data\Task2_Attributes\images\000014.jpg,True,True,True,
000015,D:\Biology-AI\data\Task1_Segmentation\images\000015.jpg,D:\Biology-AI\data\Task2_Attributes\images\000015.jpg,True,True,True,
000016,D:\Biology-AI\data\Task1_Segmentation\images\000016.jpg,D:\Biology-AI\data\Task2_Attributes\images\000016.jpg,True,True,True,
000017,D:\Biology-AI\data\Task1_Segmentation\images\000017.jpg,D:\Biology-AI\data\Task2_Attributes\images\000017.jpg,True,True,True,
000018,D:\Biology-AI\data\Task1_Segmentation\images\000018.jpg,D:\Biology-AI\data\Task2_Attributes\images\000018.jpg,True,True,True,
000019,D:\Biology-AI\data\Task1_Segmentation\images\000019.jpg,D:\Biology-AI\data\Task2_Attributes\images\000019.jpg,True,True,True,
000020,D:\Biology-AI\data\Task1_Segmentation\images\000020.jpg,D:\Biology-AI\data\Task2_Attributes\images\000020.jpg,True,True,True,
000021,D:\Biology-AI\data\Task1_Segmentation\images\000021.jpg,D:\Biology-AI\data\Task2_Attributes\images\000021.jpg,True,True,True,
000022,D:\Biology-AI\data\Task1_Segmentation\images\000022.jpg,D:\Biology-AI\data\Task2_Attributes\images\000022.jpg,True,True,True,
000023,D:\Biology-AI\data\Task1_Segmentation\images\000023.jpg,D:\Biology-AI\data\Task2_Attributes\images\000023.jpg,True,True,True,
000024,D:\Biology-AI\data\Task1_Segmentation\images\000024.jpg,D:\Biology-AI\data\Task2_Attributes\images\000024.jpg,True,True,True,
000025,D:\Biology-AI\data\Task1_Segmentation\images\000025.jpg,D:\Biology-AI\data\Task2_Attributes\images\000025.jpg,True,True,True,
000026,D:\Biology-AI\data\Task1_Segmentation\images\000026.jpg,D:\Biology-AI\data\Task2_Attributes\images\000026.jpg,True,True,True,
000027,D:\Biology-AI\data\Task1_Segmentation\images\000027.jpg,D:\Biology-AI\data\Task2_Attributes\images\000027.jpg,True,True,True,
000028,D:\Biology-AI\data\Task1_Segmentation\images\000028.jpg,D:\Biology-AI\data\Task2_Attributes\images\000028.jpg,True,True,True,
000029,D:\Biology-AI\data\Task1_Segmentation\images\000029.jpg,D:\Biology-AI\data\Task2_Attributes\images\000029.jpg,True,True,True,
000030,D:\Biology-AI\data\Task1_Segmentation\images\000030.jpg,D:\Biology-AI\data\Task2_Attributes\images\000030.jpg,True,True,True,
000031,D:\Biology-AI\data\Task1_Segmentation\images\000031.jpg,D:\Biology-AI\data\Task2_Attributes\images\000031.jpg,True,True,True,
000032,D:\Biology-AI\data\Task1_Segmentation\images\000032.jpg,D:\Biology-AI\data\Task2_Attributes\images\000032.jpg,True,True,True,
000033,D:\Biology-AI\data\Task1_Segmentation\images\000033.jpg,D:\Biology-AI\data\Task2_Attributes\images\000033.jpg,True,True,True,
000034,D:\Biology-AI\data\Task1_Segmentation\images\000034.jpg,D:\Biology-AI\data\Task2_Attributes\images\000034.jpg,True,True,True,
000035,D:\Biology-AI\data\Task1_Segmentation\images\000035.jpg,D:\Biology-AI\data\Task2_Attributes\images\000035.jpg,True,True,True,
000036,D:\Biology-AI\data\Task1_Segmentation\images\000036.jpg,D:\Biology-AI\data\Task2_Attributes\images\000036.jpg,True,True,True,
000037,D:\Biology-AI\data\Task1_Segmentation\images\000037.jpg,D:\Biology-AI\data\Task2_Attributes\images\000037.jpg,True,True,True,
000038,D:\Biology-AI\data\Task1_Segmentation\images\000038.jpg,D:\Biology-AI\data\Task2_Attributes\images\000038.jpg,True,True,True,
000039,D:\Biology-AI\data\Task1_Segmentation\images\000039.jpg,D:\Biology-AI\data\Task2_Attributes\images\000039.jpg,True,True,True,
000040,D:\Biology-AI\data\Task1_Segmentation\images\000040.jpg,D:\Biology-AI\data\Task2_Attributes\images\000040.jpg,True,True,True,
000041,D:\Biology-AI\data\Task1_Segmentation\images\000041.jpg,D:\Biology-AI\data\Task2_Attributes\images\000041.jpg,True,True,True,
000042,D:\Biology-AI\data\Task1_Segmentation\images\000042.jpg,D:\Biology-AI\data\Task2_Attributes\images\000042.jpg,True,True,True,
000043,D:\Biology-AI\data\Task1_Segmentation\images\000043.jpg,D:\Biology-AI\data\Task2_Attributes\images\000043.jpg,True,True,True,
000044,D:\Biology-AI\data\Task1_Segmentation\images\000044.jpg,D:\Biology-AI\data\Task2_Attributes\images\000044.jpg,True,True,True,
000045,D:\Biology-AI\data\Task1_Segmentation\images\000045.jpg,D:\Biology-AI\data\Task2_Attributes\images\000045.jpg,True,True,True,
000046,D:\Biology-AI\data\Task1_Segmentation\images\000046.jpg,D:\Biology-AI\data\Task2_Attributes\images\000046.jpg,True,True,True,
000047,D:\Biology-AI\data\Task1_Segmentation\images\000047.jpg,D:\Biology-AI\data\Task2_Attributes\images\000047.jpg,True,True,True,
000048,D:\Biology-AI\data\Task1_Segmentation\images\000048.jpg,D:\Biology-AI\data\Task2_Attributes\images\000048.jpg,True,True,True,
000049,D:\Biology-AI\data\Task1_Segmentation\images\000049.jpg,D:\Biology-AI\data\Task2_Attributes\images\000049.jpg,True,True,True,
000050,D:\Biology-AI\data\Task1_Segmentation\images\000050.jpg,D:\Biology-AI\data\Task2_Attributes\images\000050.jpg,True,True,True,
000051,D:\Biology-AI\data\Task1_Segmentation\images\000051.jpg,D:\Biology-AI\data\Task2_Attributes\images\000051.jpg,True,True,True,
000052,D:\Biology-AI\data\Task1_Segmentation\images\000052.jpg,D:\Biology-AI\data\Task2_Attributes\images\000052.jpg,True,True,True,
000053,D:\Biology-AI\data\Task1_Segmentation\images\000053.jpg,D:\Biology-AI\data\Task2_Attributes\images\000053.jpg,True,True,True,
000054,D:\Biology-AI\data\Task1_Segmentation\images\000054.jpg,D:\Biology-AI\data\Task2_Attributes\images\000054.jpg,True,True,True,
000055,D:\Biology-AI\data\Task1_Segmentation\images\000055.jpg,D:\Biology-AI\data\Task2_Attributes\images\000055.jpg,True,True,True,
000056,D:\Biology-AI\data\Task1_Segmentation\images\000056.jpg,D:\Biology-AI\data\Task2_Attributes\images\000056.jpg,True,True,True,
000057,D:\Biology-AI\data\Task1_Segmentation\images\000057.jpg,D:\Biology-AI\data\Task2_Attributes\images\000057.jpg,True,True,True,
000058,D:\Biology-AI\data\Task1_Segmentation\images\000058.jpg,D:\Biology-AI\data\Task2_Attributes\images\000058.jpg,True,True,True,
000059,D:\Biology-AI\data\Task1_Segmentation\images\000059.jpg,D:\Biology-AI\data\Task2_Attributes\images\000059.jpg,True,True,True,
000060,D:\Biology-AI\data\Task1_Segmentation\images\000060.jpg,D:\Biology-AI\data\Task2_Attributes\images\000060.jpg,True,True,True,
000061,D:\Biology-AI\data\Task1_Segmentation\images\000061.jpg,D:\Biology-AI\data\Task2_Attributes\images\000061.jpg,True,True,True,
000062,D:\Biology-AI\data\Task1_Segmentation\images\000062.jpg,D:\Biology-AI\data\Task2_Attributes\images\000062.jpg,True,True,True,
000063,D:\Biology-AI\data\Task1_Segmentation\images\000063.jpg,D:\Biology-AI\data\Task2_Attributes\images\000063.jpg,True,True,True,
000064,D:\Biology-AI\data\Task1_Segmentation\images\000064.jpg,D:\Biology-AI\data\Task2_Attributes\images\000064.jpg,True,True,True,
000065,D:\Biology-AI\data\Task1_Segmentation\images\000065.jpg,D:\Biology-AI\data\Task2_Attributes\images\000065.jpg,True,True,True,
000066,D:\Biology-AI\data\Task1_Segmentation\images\000066.jpg,D:\Biology-AI\data\Task2_Attributes\images\000066.jpg,True,True,True,
000067,D:\Biology-AI\data\Task1_Segmentation\images\000067.jpg,D:\Biology-AI\data\Task2_Attributes\images\000067.jpg,True,True,True,
000068,D:\Biology-AI\data\Task1_Segmentation\images\000068.jpg,D:\Biology-AI\data\Task2_Attributes\images\000068.jpg,True,True,True,
000069,D:\Biology-AI\data\Task1_Segmentation\images\000069.jpg,D:\Biology-AI\data\Task2_Attributes\images\000069.jpg,True,True,True,
000070,D:\Biology-AI\data\Task1_Segmentation\images\000070.jpg,D:\Biology-AI\data\Task2_Attributes\images\000070.jpg,True,True,True,
000071,D:\Biology-AI\data\Task1_Segmentation\images\000071.jpg,D:\Biology-AI\data\Task2_Attributes\images\000071.jpg,True,True,True,
000072,D:\Biology-AI\data\Task1_Segmentation\images\000072.jpg,D:\Biology-AI\data\Task2_Attributes\images\000072.jpg,True,True,True,
000073,D:\Biology-AI\data\Task1_Segmentation\images\000073.jpg,D:\Biology-AI\data\Task2_Attributes\images\000073.jpg,True,True,True,
000074,D:\Biology-AI\data\Task1_Segmentation\images\000074.jpg,D:\Biology-AI\data\Task2_Attributes\images\000074.jpg,True,True,True,
000075,D:\Biology-AI\data\Task1_Segmentation\images\000075.jpg,D:\Biology-AI\data\Task2_Attributes\images\000075.jpg,True,True,True,
000076,D:\Biology-AI\data\Task1_Segmentation\images\000076.jpg,D:\Biology-AI\data\Task2_Attributes\images\000076.jpg,True,True,True,
000077,D:\Biology-AI\data\Task1_Segmentation\images\000077.jpg,D:\Biology-AI\data\Task2_Attributes\images\000077.jpg,True,True,True,
000078,D:\Biology-AI\data\Task1_Segmentation\images\000078.jpg,D:\Biology-AI\data\Task2_Attributes\images\000078.jpg,True,True,True,
000079,D:\Biology-AI\data\Task1_Segmentation\images\000079.jpg,D:\Biology-AI\data\Task2_Attributes\images\000079.jpg,True,True,True,
000080,D:\Biology-AI\data\Task1_Segmentation\images\000080.jpg,D:\Biology-AI\data\Task2_Attributes\images\000080.jpg,True,True,True,
000081,D:\Biology-AI\data\Task1_Segmentation\images\000081.jpg,D:\Biology-AI\data\Task2_Attributes\images\000081.jpg,True,True,True,
000082,D:\Biology-AI\data\Task1_Segmentation\images\000082.jpg,D:\Biology-AI\data\Task2_Attributes\images\000082.jpg,True,True,True,
000083,D:\Biology-AI\data\Task1_Segmentation\images\000083.jpg,D:\Biology-AI\data\Task2_Attributes\images\000083.jpg,True,True,True,
000084,D:\Biology-AI\data\Task1_Segmentation\images\000084.jpg,D:\Biology-AI\data\Task2_Attributes\images\000084.jpg,True,True,True,
000085,D:\Biology-AI\data\Task1_Segmentation\images\000085.jpg,D:\Biology-AI\data\Task2_Attributes\images\000085.jpg,True,True,True,
000086,D:\Biology-AI\data\Task1_Segmentation\images\000086.jpg,D:\Biology-AI\data\Task2_Attributes\images\000086.jpg,True,True,True,
000087,D:\Biology-AI\data\Task1_Segmentation\images\000087.jpg,D:\Biology-AI\data\Task2_Attributes\images\000087.jpg,True,True,True,
000088,D:\Biology-AI\data\Task1_Segmentation\images\000088.jpg,D:\Biology-AI\data\Task2_Attributes\images\000088.jpg,True,True,True,
000089,D:\Biology-AI\data\Task1_Segmentation\images\000089.jpg,D:\Biology-AI\data\Task2_Attributes\images\000089.jpg,True,True,True,
000090,D:\Biology-AI\data\Task1_Segmentation\images\000090.jpg,D:\Biology-AI\data\Task2_Attributes\images\000090.jpg,True,True,True,
000091,D:\Biology-AI\data\Task1_Segmentation\images\000091.jpg,D:\Biology-AI\data\Task2_Attributes\images\000091.jpg,True,True,True,
000092,D:\Biology-AI\data\Task1_Segmentation\images\000092.jpg,D:\Biology-AI\data\Task2_Attributes\images\000092.jpg,True,True,True,
000093,D:\Biology-AI\data\Task1_Segmentation\images\000093.jpg,D:\Biology-AI\data\Task2_Attributes\images\000093.jpg,True,True,True,
000094,D:\Biology-AI\data\Task1_Segmentation\images\000094.jpg,D:\Biology-AI\data\Task2_Attributes\images\000094.jpg,True,True,True,
000095,D:\Biology-AI\data\Task1_Segmentation\images\000095.jpg,D:\Biology-AI\data\Task2_Attributes\images\000095.jpg,True,True,True,
000096,D:\Biology-AI\data\Task1_Segmentation\images\000096.jpg,D:\Biology-AI\data\Task2_Attributes\images\000096.jpg,True,True,True,
000097,D:\Biology-AI\data\Task1_Segmentation\images\000097.jpg,D:\Biology-AI\data\Task2_Attributes\images\000097.jpg,True,True,True,
000098,D:\Biology-AI\data\Task1_Segmentation\images\000098.jpg,D:\Biology-AI\data\Task2_Attributes\images\000098.jpg,True,True,True,
000099,D:\Biology-AI\data\Task1_Segmentation\images\000099.jpg,D:\Biology-AI\data\Task2_Attributes\images\000099.jpg,True,True,True,
000100,D:\Biology-AI\data\Task1_Segmentation\images\000100.jpg,D:\Biology-AI\data\Task2_Attributes\images\000100.jpg,True,True,True,
000101,D:\Biology-AI\data\Task1_Segmentation\images\000101.jpg,D:\Biology-AI\data\Task2_Attributes\images\000101.jpg,True,True,True,
000102,D:\Biology-AI\data\Task1_Segmentation\images\000102.jpg,D:\Biology-AI\data\Task2_Attributes\images\000102.jpg,True,True,True,
000103,D:\Biology-AI\data\Task1_Segmentation\images\000103.jpg,D:\Biology-AI\data\Task2_Attributes\images\000103.jpg,True,True,True,
000104,D:\Biology-AI\data\Task1_Segmentation\images\000104.jpg,D:\Biology-AI\data\Task2_Attributes\images\000104.jpg,True,True,True,
000105,D:\Biology-AI\data\Task1_Segmentation\images\000105.jpg,D:\Biology-AI\data\Task2_Attributes\images\000105.jpg,True,True,True,
000106,D:\Biology-AI\data\Task1_Segmentation\images\000106.jpg,D:\Biology-AI\data\Task2_Attributes\images\000106.jpg,True,True,True,
000107,D:\Biology-AI\data\Task1_Segmentation\images\000107.jpg,D:\Biology-AI\data\Task2_Attributes\images\000107.jpg,True,True,True,
000108,D:\Biology-AI\data\Task1_Segmentation\images\000108.jpg,D:\Biology-AI\data\Task2_Attributes\images\000108.jpg,True,True,True,
000109,D:\Biology-AI\data\Task1_Segmentation\images\000109.jpg,D:\Biology-AI\data\Task2_Attributes\images\000109.jpg,True,True,True,
000110,D:\Biology-AI\data\Task1_Segmentation\images\000110.jpg,D:\Biology-AI\data\Task2_Attributes\images\000110.jpg,True,True,True,
000111,D:\Biology-AI\data\Task1_Segmentation\images\000111.jpg,D:\Biology-AI\data\Task2_Attributes\images\000111.jpg,True,True,True,
000112,D:\Biology-AI\data\Task1_Segmentation\images\000112.jpg,D:\Biology-AI\data\Task2_Attributes\images\000112.jpg,True,True,True,
000113,D:\Biology-AI\data\Task1_Segmentation\images\000113.jpg,D:\Biology-AI\data\Task2_Attributes\images\000113.jpg,True,True,True,
000114,D:\Biology-AI\data\Task1_Segmentation\images\000114.jpg,D:\Biology-AI\data\Task2_Attributes\images\000114.jpg,True,True,True,
000115,D:\Biology-AI\data\Task1_Segmentation\images\000115.jpg,D:\Biology-AI\data\Task2_Attributes\images\000115.jpg,True,True,True,
000116,D:\Biology-AI\data\Task1_Segmentation\images\000116.jpg,D:\Biology-AI\data\Task2_Attributes\images\000116.jpg,True,True,True,
000117,D:\Biology-AI\data\Task1_Segmentation\images\000117.jpg,D:\Biology-AI\data\Task2_Attributes\images\000117.jpg,True,True,True,
000118,D:\Biology-AI\data\Task1_Segmentation\images\000118.jpg,D:\Biology-AI\data\Task2_Attributes\images\000118.jpg,True,True,True,
000119,D:\Biology-AI\data\Task1_Segmentation\images\000119.jpg,D:\Biology-AI\data\Task2_Attributes\images\000119.jpg,True,True,True,
000120,D:\Biology-AI\data\Task1_Segmentation\images\000120.jpg,D:\Biology-AI\data\Task2_Attributes\images\000120.jpg,True,True,True,
000121,D:\Biology-AI\data\Task1_Segmentation\images\000121.jpg,D:\Biology-AI\data\Task2_Attributes\images\000121.jpg,True,True,True,
000122,D:\Biology-AI\data\Task1_Segmentation\images\000122.jpg,D:\Biology-AI\data\Task2_Attributes\images\000122.jpg,True,True,True,
000123,D:\Biology-AI\data\Task1_Segmentation\images\000123.jpg,D:\Biology-AI\data\Task2_Attributes\images\000123.jpg,True,True,True,
000124,D:\Biology-AI\data\Task1_Segmentation\images\000124.jpg,D:\Biology-AI\data\Task2_Attributes\images\000124.jpg,True,True,True,
000125,D:\Biology-AI\data\Task1_Segmentation\images\000125.jpg,D:\Biology-AI\data\Task2_Attributes\images\000125.jpg,True,True,True,
000126,D:\Biology-AI\data\Task1_Segmentation\images\000126.jpg,D:\Biology-AI\data\Task2_Attributes\images\000126.jpg,True,True,True,
000127,D:\Biology-AI\data\Task1_Segmentation\images\000127.jpg,D:\Biology-AI\data\Task2_Attributes\images\000127.jpg,True,True,True,
000128,D:\Biology-AI\data\Task1_Segmentation\images\000128.jpg,D:\Biology-AI\data\Task2_Attributes\images\000128.jpg,True,True,True,
000129,D:\Biology-AI\data\Task1_Segmentation\images\000129.jpg,D:\Biology-AI\data\Task2_Attributes\images\000129.jpg,True,True,True,
000130,D:\Biology-AI\data\Task1_Segmentation\images\000130.jpg,D:\Biology-AI\data\Task2_Attributes\images\000130.jpg,True,True,True,
000131,D:\Biology-AI\data\Task1_Segmentation\images\000131.jpg,D:\Biology-AI\data\Task2_Attributes\images\000131.jpg,True,True,True,
000132,D:\Biology-AI\data\Task1_Segmentation\images\000132.jpg,D:\Biology-AI\data\Task2_Attributes\images\000132.jpg,True,True,True,
000133,D:\Biology-AI\data\Task1_Segmentation\images\000133.jpg,D:\Biology-AI\data\Task2_Attributes\images\000133.jpg,True,True,True,
000134,D:\Biology-AI\data\Task1_Segmentation\images\000134.jpg,D:\Biology-AI\data\Task2_Attributes\images\000134.jpg,True,True,True,
000135,D:\Biology-AI\data\Task1_Segmentation\images\000135.jpg,D:\Biology-AI\data\Task2_Attributes\images\000135.jpg,True,True,True,
000136,D:\Biology-AI\data\Task1_Segmentation\images\000136.jpg,D:\Biology-AI\data\Task2_Attributes\images\000136.jpg,True,True,True,
000137,D:\Biology-AI\data\Task1_Segmentation\images\000137.jpg,D:\Biology-AI\data\Task2_Attributes\images\000137.jpg,True,True,True,
000138,D:\Biology-AI\data\Task1_Segmentation\images\000138.jpg,D:\Biology-AI\data\Task2_Attributes\images\000138.jpg,True,True,True,
000139,D:\Biology-AI\data\Task1_Segmentation\images\000139.jpg,D:\Biology-AI\data\Task2_Attributes\images\000139.jpg,True,True,True,
000140,D:\Biology-AI\data\Task1_Segmentation\images\000140.jpg,D:\Biology-AI\data\Task2_Attributes\images\000140.jpg,True,True,True,
000141,D:\Biology-AI\data\Task1_Segmentation\images\000141.jpg,D:\Biology-AI\data\Task2_Attributes\images\000141.jpg,True,True,True,
000142,D:\Biology-AI\data\Task1_Segmentation\images\000142.jpg,D:\Biology-AI\data\Task2_Attributes\images\000142.jpg,True,True,True,
000143,D:\Biology-AI\data\Task1_Segmentation\images\000143.jpg,D:\Biology-AI\data\Task2_Attributes\images\000143.jpg,True,True,True,
000144,D:\Biology-AI\data\Task1_Segmentation\images\000144.jpg,D:\Biology-AI\data\Task2_Attributes\images\000144.jpg,True,True,True,
000145,D:\Biology-AI\data\Task1_Segmentation\images\000145.jpg,D:\Biology-AI\data\Task2_Attributes\images\000145.jpg,True,True,True,
000146,D:\Biology-AI\data\Task1_Segmentation\images\000146.jpg,D:\Biology-AI\data\Task2_Attributes\images\000146.jpg,True,True,True,
000147,D:\Biology-AI\data\Task1_Segmentation\images\000147.jpg,D:\Biology-AI\data\Task2_Attributes\images\000147.jpg,True,True,True,
000148,D:\Biology-AI\data\Task1_Segmentation\images\000148.jpg,D:\Biology-AI\data\Task2_Attributes\images\000148.jpg,True,True,True,
000149,D:\Biology-AI\data\Task1_Segmentation\images\000149.jpg,D:\Biology-AI\data\Task2_Attributes\images\000149.jpg,True,True,True,
000150,D:\Biology-AI\data\Task1_Segmentation\images\000150.jpg,D:\Biology-AI\data\Task2_Attributes\images\000150.jpg,True,True,True,
000151,D:\Biology-AI\data\Task1_Segmentation\images\000151.jpg,D:\Biology-AI\data\Task2_Attributes\images\000151.jpg,True,True,True,
000152,D:\Biology-AI\data\Task1_Segmentation\images\000152.jpg,D:\Biology-AI\data\Task2_Attributes\images\000152.jpg,True,True,True,
000153,D:\Biology-AI\data\Task1_Segmentation\images\000153.jpg,D:\Biology-AI\data\Task2_Attributes\images\000153.jpg,True,True,True,
000154,D:\Biology-AI\data\Task1_Segmentation\images\000154.jpg,D:\Biology-AI\data\Task2_Attributes\images\000154.jpg,True,True,True,
000155,D:\Biology-AI\data\Task1_Segmentation\images\000155.jpg,D:\Biology-AI\data\Task2_Attributes\images\000155.jpg,True,True,True,
000156,D:\Biology-AI\data\Task1_Segmentation\images\000156.jpg,D:\Biology-AI\data\Task2_Attributes\images\000156.jpg,True,True,True,
000157,D:\Biology-AI\data\Task1_Segmentation\images\000157.jpg,D:\Biology-AI\data\Task2_Attributes\images\000157.jpg,True,True,True,
000158,D:\Biology-AI\data\Task1_Segmentation\images\000158.jpg,D:\Biology-AI\data\Task2_Attributes\images\000158.jpg,True,True,True,
000159,D:\Biology-AI\data\Task1_Segmentation\images\000159.jpg,D:\Biology-AI\data\Task2_Attributes\images\000159.jpg,True,True,True,
000160,D:\Biology-AI\data\Task1_Segmentation\images\000160.jpg,D:\Biology-AI\data\Task2_Attributes\images\000160.jpg,True,True,True,
000161,D:\Biology-AI\data\Task1_Segmentation\images\000161.jpg,D:\Biology-AI\data\Task2_Attributes\images\000161.jpg,True,True,True,
000162,D:\Biology-AI\data\Task1_Segmentation\images\000162.jpg,D:\Biology-AI\data\Task2_Attributes\images\000162.jpg,True,True,True,
000163,D:\Biology-AI\data\Task1_Segmentation\images\000163.jpg,D:\Biology-AI\data\Task2_Attributes\images\000163.jpg,True,True,True,
000164,D:\Biology-AI\data\Task1_Segmentation\images\000164.jpg,D:\Biology-AI\data\Task2_Attributes\images\000164.jpg,True,True,True,
000165,D:\Biology-AI\data\Task1_Segmentation\images\000165.jpg,D:\Biology-AI\data\Task2_Attributes\images\000165.jpg,True,True,True,
000166,D:\Biology-AI\data\Task1_Segmentation\images\000166.jpg,D:\Biology-AI\data\Task2_Attributes\images\000166.jpg,True,True,True,
000167,D:\Biology-AI\data\Task1_Segmentation\images\000167.jpg,D:\Biology-AI\data\Task2_Attributes\images\000167.jpg,True,True,True,
000168,D:\Biology-AI\data\Task1_Segmentation\images\000168.jpg,D:\Biology-AI\data\Task2_Attributes\images\000168.jpg,True,True,True,
000169,D:\Biology-AI\data\Task1_Segmentation\images\000169.jpg,D:\Biology-AI\data\Task2_Attributes\images\000169.jpg,True,True,True,
000170,D:\Biology-AI\data\Task1_Segmentation\images\000170.jpg,D:\Biology-AI\data\Task2_Attributes\images\000170.jpg,True,True,True,
000171,D:\Biology-AI\data\Task1_Segmentation\images\000171.jpg,D:\Biology-AI\data\Task2_Attributes\images\000171.jpg,True,True,True,
000172,D:\Biology-AI\data\Task1_Segmentation\images\000172.jpg,D:\Biology-AI\data\Task2_Attributes\images\000172.jpg,True,True,True,
000173,D:\Biology-AI\data\Task1_Segmentation\images\000173.jpg,D:\Biology-AI\data\Task2_Attributes\images\000173.jpg,True,True,True,
000174,D:\Biology-AI\data\Task1_Segmentation\images\000174.jpg,D:\Biology-AI\data\Task2_Attributes\images\000174.jpg,True,True,True,
000175,D:\Biology-AI\data\Task1_Segmentation\images\000175.jpg,D:\Biology-AI\data\Task2_Attributes\images\000175.jpg,True,True,True,
000176,D:\Biology-AI\data\Task1_Segmentation\images\000176.jpg,D:\Biology-AI\data\Task2_Attributes\images\000176.jpg,True,True,True,
000177,D:\Biology-AI\data\Task1_Segmentation\images\000177.jpg,D:\Biology-AI\data\Task2_Attributes\images\000177.jpg,True,True,True,
000178,D:\Biology-AI\data\Task1_Segmentation\images\000178.jpg,D:\Biology-AI\data\Task2_Attributes\images\000178.jpg,True,True,True,
000179,D:\Biology-AI\data\Task1_Segmentation\images\000179.jpg,D:\Biology-AI\data\Task2_Attributes\images\000179.jpg,True,True,True,
000180,D:\Biology-AI\data\Task1_Segmentation\images\000180.jpg,D:\Biology-AI\data\Task2_Attributes\images\000180.jpg,True,True,True,
000181,D:\Biology-AI\data\Task1_Segmentation\images\000181.jpg,D:\Biology-AI\data\Task2_Attributes\images\000181.jpg,True,True,True,
000182,D:\Biology-AI\data\Task1_Segmentation\images\000182.jpg,D:\Biology-AI\data\Task2_Attributes\images\000182.jpg,True,True,True,
000183,D:\Biology-AI\data\Task1_Segmentation\images\000183.jpg,D:\Biology-AI\data\Task2_Attributes\images\000183.jpg,True,True,True,
000184,D:\Biology-AI\data\Task1_Segmentation\images\000184.jpg,D:\Biology-AI\data\Task2_Attributes\images\000184.jpg,True,True,True,
000185,D:\Biology-AI\data\Task1_Segmentation\images\000185.jpg,D:\Biology-AI\data\Task2_Attributes\images\000185.jpg,True,True,True,
000186,D:\Biology-AI\data\Task1_Segmentation\images\000186.jpg,D:\Biology-AI\data\Task2_Attributes\images\000186.jpg,True,True,True,
000187,D:\Biology-AI\data\Task1_Segmentation\images\000187.jpg,D:\Biology-AI\data\Task2_Attributes\images\000187.jpg,True,True,True,
000188,D:\Biology-AI\data\Task1_Segmentation\images\000188.jpg,D:\Biology-AI\data\Task2_Attributes\images\000188.jpg,True,True,True,
000189,D:\Biology-AI\data\Task1_Segmentation\images\000189.jpg,D:\Biology-AI\data\Task2_Attributes\images\000189.jpg,True,True,True,
000190,D:\Biology-AI\data\Task1_Segmentation\images\000190.jpg,D:\Biology-AI\data\Task2_Attributes\images\000190.jpg,True,True,True,
000191,D:\Biology-AI\data\Task1_Segmentation\images\000191.jpg,D:\Biology-AI\data\Task2_Attributes\images\000191.jpg,True,True,True,
000192,D:\Biology-AI\data\Task1_Segmentation\images\000192.jpg,D:\Biology-AI\data\Task2_Attributes\images\000192.jpg,True,True,True,
000193,D:\Biology-AI\data\Task1_Segmentation\images\000193.jpg,D:\Biology-AI\data\Task2_Attributes\images\000193.jpg,True,True,True,
000194,D:\Biology-AI\data\Task1_Segmentation\images\000194.jpg,D:\Biology-AI\data\Task2_Attributes\images\000194.jpg,True,True,True,
000195,D:\Biology-AI\data\Task1_Segmentation\images\000195.jpg,D:\Biology-AI\data\Task2_Attributes\images\000195.jpg,True,True,True,
000196,D:\Biology-AI\data\Task1_Segmentation\images\000196.jpg,D:\Biology-AI\data\Task2_Attributes\images\000196.jpg,True,True,True,
