image_id,task1_image_path,task1_mask_path,pigment_network_mask,negative_network_mask,streaks_mask,milia_like_cysts_mask,globules_mask
000011,Task1_Segmentation/images/000011.jpg,Task1_Segmentation/masks/000011_segmentation.png,Task2_Attributes/masks/pigment_network/000011_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000011_attribute_negative_network.png,Task2_Attributes/masks/streaks/000011_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000011_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000011_attribute_globules.png
000012,Task1_Segmentation/images/000012.jpg,Task1_Segmentation/masks/000012_segmentation.png,Task2_Attributes/masks/pigment_network/000012_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000012_attribute_negative_network.png,Task2_Attributes/masks/streaks/000012_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000012_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000012_attribute_globules.png
000013,Task1_Segmentation/images/000013.jpg,Task1_Segmentation/masks/000013_segmentation.png,Task2_Attributes/masks/pigment_network/000013_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000013_attribute_negative_network.png,Task2_Attributes/masks/streaks/000013_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000013_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000013_attribute_globules.png
000014,Task1_Segmentation/images/000014.jpg,Task1_Segmentation/masks/000014_segmentation.png,Task2_Attributes/masks/pigment_network/000014_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000014_attribute_negative_network.png,Task2_Attributes/masks/streaks/000014_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000014_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000014_attribute_globules.png
000015,Task1_Segmentation/images/000015.jpg,Task1_Segmentation/masks/000015_segmentation.png,Task2_Attributes/masks/pigment_network/000015_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000015_attribute_negative_network.png,Task2_Attributes/masks/streaks/000015_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000015_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000015_attribute_globules.png
000016,Task1_Segmentation/images/000016.jpg,Task1_Segmentation/masks/000016_segmentation.png,Task2_Attributes/masks/pigment_network/000016_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000016_attribute_negative_network.png,Task2_Attributes/masks/streaks/000016_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000016_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000016_attribute_globules.png
000017,Task1_Segmentation/images/000017.jpg,Task1_Segmentation/masks/000017_segmentation.png,Task2_Attributes/masks/pigment_network/000017_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000017_attribute_negative_network.png,Task2_Attributes/masks/streaks/000017_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000017_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000017_attribute_globules.png
000018,Task1_Segmentation/images/000018.jpg,Task1_Segmentation/masks/000018_segmentation.png,Task2_Attributes/masks/pigment_network/000018_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000018_attribute_negative_network.png,Task2_Attributes/masks/streaks/000018_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000018_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000018_attribute_globules.png
000019,Task1_Segmentation/images/000019.jpg,Task1_Segmentation/masks/000019_segmentation.png,Task2_Attributes/masks/pigment_network/000019_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000019_attribute_negative_network.png,Task2_Attributes/masks/streaks/000019_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000019_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000019_attribute_globules.png
000020,Task1_Segmentation/images/000020.jpg,Task1_Segmentation/masks/000020_segmentation.png,Task2_Attributes/masks/pigment_network/000020_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000020_attribute_negative_network.png,Task2_Attributes/masks/streaks/000020_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000020_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000020_attribute_globules.png
000021,Task1_Segmentation/images/000021.jpg,Task1_Segmentation/masks/000021_segmentation.png,Task2_Attributes/masks/pigment_network/000021_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000021_attribute_negative_network.png,Task2_Attributes/masks/streaks/000021_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000021_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000021_attribute_globules.png
000022,Task1_Segmentation/images/000022.jpg,Task1_Segmentation/masks/000022_segmentation.png,Task2_Attributes/masks/pigment_network/000022_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000022_attribute_negative_network.png,Task2_Attributes/masks/streaks/000022_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000022_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000022_attribute_globules.png
000023,Task1_Segmentation/images/000023.jpg,Task1_Segmentation/masks/000023_segmentation.png,Task2_Attributes/masks/pigment_network/000023_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000023_attribute_negative_network.png,Task2_Attributes/masks/streaks/000023_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000023_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000023_attribute_globules.png
000024,Task1_Segmentation/images/000024.jpg,Task1_Segmentation/masks/000024_segmentation.png,Task2_Attributes/masks/pigment_network/000024_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000024_attribute_negative_network.png,Task2_Attributes/masks/streaks/000024_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000024_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000024_attribute_globules.png
000025,Task1_Segmentation/images/000025.jpg,Task1_Segmentation/masks/000025_segmentation.png,Task2_Attributes/masks/pigment_network/000025_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000025_attribute_negative_network.png,Task2_Attributes/masks/streaks/000025_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000025_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000025_attribute_globules.png
000026,Task1_Segmentation/images/000026.jpg,Task1_Segmentation/masks/000026_segmentation.png,Task2_Attributes/masks/pigment_network/000026_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000026_attribute_negative_network.png,Task2_Attributes/masks/streaks/000026_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000026_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000026_attribute_globules.png
000027,Task1_Segmentation/images/000027.jpg,Task1_Segmentation/masks/000027_segmentation.png,Task2_Attributes/masks/pigment_network/000027_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000027_attribute_negative_network.png,Task2_Attributes/masks/streaks/000027_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000027_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000027_attribute_globules.png
000028,Task1_Segmentation/images/000028.jpg,Task1_Segmentation/masks/000028_segmentation.png,Task2_Attributes/masks/pigment_network/000028_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000028_attribute_negative_network.png,Task2_Attributes/masks/streaks/000028_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000028_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000028_attribute_globules.png
000029,Task1_Segmentation/images/000029.jpg,Task1_Segmentation/masks/000029_segmentation.png,Task2_Attributes/masks/pigment_network/000029_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000029_attribute_negative_network.png,Task2_Attributes/masks/streaks/000029_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000029_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000029_attribute_globules.png
000030,Task1_Segmentation/images/000030.jpg,Task1_Segmentation/masks/000030_segmentation.png,Task2_Attributes/masks/pigment_network/000030_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000030_attribute_negative_network.png,Task2_Attributes/masks/streaks/000030_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000030_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000030_attribute_globules.png
000031,Task1_Segmentation/images/000031.jpg,Task1_Segmentation/masks/000031_segmentation.png,Task2_Attributes/masks/pigment_network/000031_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000031_attribute_negative_network.png,Task2_Attributes/masks/streaks/000031_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000031_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000031_attribute_globules.png
000032,Task1_Segmentation/images/000032.jpg,Task1_Segmentation/masks/000032_segmentation.png,Task2_Attributes/masks/pigment_network/000032_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000032_attribute_negative_network.png,Task2_Attributes/masks/streaks/000032_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000032_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000032_attribute_globules.png
000033,Task1_Segmentation/images/000033.jpg,Task1_Segmentation/masks/000033_segmentation.png,Task2_Attributes/masks/pigment_network/000033_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000033_attribute_negative_network.png,Task2_Attributes/masks/streaks/000033_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000033_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000033_attribute_globules.png
000034,Task1_Segmentation/images/000034.jpg,Task1_Segmentation/masks/000034_segmentation.png,Task2_Attributes/masks/pigment_network/000034_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000034_attribute_negative_network.png,Task2_Attributes/masks/streaks/000034_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000034_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000034_attribute_globules.png
000035,Task1_Segmentation/images/000035.jpg,Task1_Segmentation/masks/000035_segmentation.png,Task2_Attributes/masks/pigment_network/000035_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000035_attribute_negative_network.png,Task2_Attributes/masks/streaks/000035_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000035_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000035_attribute_globules.png
000036,Task1_Segmentation/images/000036.jpg,Task1_Segmentation/masks/000036_segmentation.png,Task2_Attributes/masks/pigment_network/000036_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000036_attribute_negative_network.png,Task2_Attributes/masks/streaks/000036_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000036_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000036_attribute_globules.png
000037,Task1_Segmentation/images/000037.jpg,Task1_Segmentation/masks/000037_segmentation.png,Task2_Attributes/masks/pigment_network/000037_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000037_attribute_negative_network.png,Task2_Attributes/masks/streaks/000037_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000037_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000037_attribute_globules.png
000038,Task1_Segmentation/images/000038.jpg,Task1_Segmentation/masks/000038_segmentation.png,Task2_Attributes/masks/pigment_network/000038_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000038_attribute_negative_network.png,Task2_Attributes/masks/streaks/000038_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000038_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000038_attribute_globules.png
000039,Task1_Segmentation/images/000039.jpg,Task1_Segmentation/masks/000039_segmentation.png,Task2_Attributes/masks/pigment_network/000039_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000039_attribute_negative_network.png,Task2_Attributes/masks/streaks/000039_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000039_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000039_attribute_globules.png
000040,Task1_Segmentation/images/000040.jpg,Task1_Segmentation/masks/000040_segmentation.png,Task2_Attributes/masks/pigment_network/000040_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000040_attribute_negative_network.png,Task2_Attributes/masks/streaks/000040_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000040_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000040_attribute_globules.png
000041,Task1_Segmentation/images/000041.jpg,Task1_Segmentation/masks/000041_segmentation.png,Task2_Attributes/masks/pigment_network/000041_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000041_attribute_negative_network.png,Task2_Attributes/masks/streaks/000041_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000041_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000041_attribute_globules.png
000042,Task1_Segmentation/images/000042.jpg,Task1_Segmentation/masks/000042_segmentation.png,Task2_Attributes/masks/pigment_network/000042_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000042_attribute_negative_network.png,Task2_Attributes/masks/streaks/000042_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000042_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000042_attribute_globules.png
000043,Task1_Segmentation/images/000043.jpg,Task1_Segmentation/masks/000043_segmentation.png,Task2_Attributes/masks/pigment_network/000043_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000043_attribute_negative_network.png,Task2_Attributes/masks/streaks/000043_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000043_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000043_attribute_globules.png
000044,Task1_Segmentation/images/000044.jpg,Task1_Segmentation/masks/000044_segmentation.png,Task2_Attributes/masks/pigment_network/000044_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000044_attribute_negative_network.png,Task2_Attributes/masks/streaks/000044_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000044_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000044_attribute_globules.png
000045,Task1_Segmentation/images/000045.jpg,Task1_Segmentation/masks/000045_segmentation.png,Task2_Attributes/masks/pigment_network/000045_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000045_attribute_negative_network.png,Task2_Attributes/masks/streaks/000045_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000045_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000045_attribute_globules.png
000046,Task1_Segmentation/images/000046.jpg,Task1_Segmentation/masks/000046_segmentation.png,Task2_Attributes/masks/pigment_network/000046_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000046_attribute_negative_network.png,Task2_Attributes/masks/streaks/000046_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000046_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000046_attribute_globules.png
000047,Task1_Segmentation/images/000047.jpg,Task1_Segmentation/masks/000047_segmentation.png,Task2_Attributes/masks/pigment_network/000047_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000047_attribute_negative_network.png,Task2_Attributes/masks/streaks/000047_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000047_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000047_attribute_globules.png
000048,Task1_Segmentation/images/000048.jpg,Task1_Segmentation/masks/000048_segmentation.png,Task2_Attributes/masks/pigment_network/000048_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000048_attribute_negative_network.png,Task2_Attributes/masks/streaks/000048_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000048_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000048_attribute_globules.png
000049,Task1_Segmentation/images/000049.jpg,Task1_Segmentation/masks/000049_segmentation.png,Task2_Attributes/masks/pigment_network/000049_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000049_attribute_negative_network.png,Task2_Attributes/masks/streaks/000049_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000049_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000049_attribute_globules.png
000050,Task1_Segmentation/images/000050.jpg,Task1_Segmentation/masks/000050_segmentation.png,Task2_Attributes/masks/pigment_network/000050_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000050_attribute_negative_network.png,Task2_Attributes/masks/streaks/000050_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000050_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000050_attribute_globules.png
000051,Task1_Segmentation/images/000051.jpg,Task1_Segmentation/masks/000051_segmentation.png,Task2_Attributes/masks/pigment_network/000051_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000051_attribute_negative_network.png,Task2_Attributes/masks/streaks/000051_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000051_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000051_attribute_globules.png
000052,Task1_Segmentation/images/000052.jpg,Task1_Segmentation/masks/000052_segmentation.png,Task2_Attributes/masks/pigment_network/000052_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000052_attribute_negative_network.png,Task2_Attributes/masks/streaks/000052_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000052_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000052_attribute_globules.png
000053,Task1_Segmentation/images/000053.jpg,Task1_Segmentation/masks/000053_segmentation.png,Task2_Attributes/masks/pigment_network/000053_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000053_attribute_negative_network.png,Task2_Attributes/masks/streaks/000053_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000053_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000053_attribute_globules.png
000054,Task1_Segmentation/images/000054.jpg,Task1_Segmentation/masks/000054_segmentation.png,Task2_Attributes/masks/pigment_network/000054_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000054_attribute_negative_network.png,Task2_Attributes/masks/streaks/000054_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000054_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000054_attribute_globules.png
000055,Task1_Segmentation/images/000055.jpg,Task1_Segmentation/masks/000055_segmentation.png,Task2_Attributes/masks/pigment_network/000055_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000055_attribute_negative_network.png,Task2_Attributes/masks/streaks/000055_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000055_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000055_attribute_globules.png
000056,Task1_Segmentation/images/000056.jpg,Task1_Segmentation/masks/000056_segmentation.png,Task2_Attributes/masks/pigment_network/000056_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000056_attribute_negative_network.png,Task2_Attributes/masks/streaks/000056_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000056_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000056_attribute_globules.png
000057,Task1_Segmentation/images/000057.jpg,Task1_Segmentation/masks/000057_segmentation.png,Task2_Attributes/masks/pigment_network/000057_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000057_attribute_negative_network.png,Task2_Attributes/masks/streaks/000057_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000057_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000057_attribute_globules.png
000058,Task1_Segmentation/images/000058.jpg,Task1_Segmentation/masks/000058_segmentation.png,Task2_Attributes/masks/pigment_network/000058_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000058_attribute_negative_network.png,Task2_Attributes/masks/streaks/000058_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000058_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000058_attribute_globules.png
000059,Task1_Segmentation/images/000059.jpg,Task1_Segmentation/masks/000059_segmentation.png,Task2_Attributes/masks/pigment_network/000059_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000059_attribute_negative_network.png,Task2_Attributes/masks/streaks/000059_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000059_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000059_attribute_globules.png
000060,Task1_Segmentation/images/000060.jpg,Task1_Segmentation/masks/000060_segmentation.png,Task2_Attributes/masks/pigment_network/000060_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000060_attribute_negative_network.png,Task2_Attributes/masks/streaks/000060_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000060_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000060_attribute_globules.png
000061,Task1_Segmentation/images/000061.jpg,Task1_Segmentation/masks/000061_segmentation.png,Task2_Attributes/masks/pigment_network/000061_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000061_attribute_negative_network.png,Task2_Attributes/masks/streaks/000061_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000061_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000061_attribute_globules.png
000062,Task1_Segmentation/images/000062.jpg,Task1_Segmentation/masks/000062_segmentation.png,Task2_Attributes/masks/pigment_network/000062_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000062_attribute_negative_network.png,Task2_Attributes/masks/streaks/000062_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000062_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000062_attribute_globules.png
000063,Task1_Segmentation/images/000063.jpg,Task1_Segmentation/masks/000063_segmentation.png,Task2_Attributes/masks/pigment_network/000063_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000063_attribute_negative_network.png,Task2_Attributes/masks/streaks/000063_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000063_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000063_attribute_globules.png
000064,Task1_Segmentation/images/000064.jpg,Task1_Segmentation/masks/000064_segmentation.png,Task2_Attributes/masks/pigment_network/000064_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000064_attribute_negative_network.png,Task2_Attributes/masks/streaks/000064_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000064_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000064_attribute_globules.png
000065,Task1_Segmentation/images/000065.jpg,Task1_Segmentation/masks/000065_segmentation.png,Task2_Attributes/masks/pigment_network/000065_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000065_attribute_negative_network.png,Task2_Attributes/masks/streaks/000065_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000065_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000065_attribute_globules.png
000066,Task1_Segmentation/images/000066.jpg,Task1_Segmentation/masks/000066_segmentation.png,Task2_Attributes/masks/pigment_network/000066_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000066_attribute_negative_network.png,Task2_Attributes/masks/streaks/000066_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000066_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000066_attribute_globules.png
000067,Task1_Segmentation/images/000067.jpg,Task1_Segmentation/masks/000067_segmentation.png,Task2_Attributes/masks/pigment_network/000067_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000067_attribute_negative_network.png,Task2_Attributes/masks/streaks/000067_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000067_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000067_attribute_globules.png
000068,Task1_Segmentation/images/000068.jpg,Task1_Segmentation/masks/000068_segmentation.png,Task2_Attributes/masks/pigment_network/000068_attribute_pigment_network.png,Task2_Attributes/masks/negative_network/000068_attribute_negative_network.png,Task2_Attributes/masks/streaks/000068_attribute_streaks.png,Task2_Attributes/masks/milia_like_cysts/000068_attribute_milia_like_cyst.png,Task2_Attributes/masks/globules/000068_attribute_globules.png
